#1
# Data Source: Simbench Dataset
# type: measured profile
# load profile: G3-A
# source: Simbench
# scaling: P = 225.7 kW Q = 89.1 kVAr
# timezone: UTC
float p_q(35136,3)
732600 0.411371 0.30904 
733500 0.433177 0.368276 
734400 0.556923 0.634666 
735300 0.414716 0.275191 
736200 0.58194 0.571369 
737100 0.501672 0.465422 
738000 0.451505 0.376738 
738900 0.4499 0.376738 
739800 0.64388 0.770062 
740700 0.757592 106.624 
741600 0.652174 0.715226 
742500 0.535117 0.495209 
743400 0.453244 0.300578 
744300 0.615385 0.478284 
745200 0.720803 0.702364 
746100 0.496722 0.440035 
747000 0.618729 0.435973 
747900 0.580334 0.575431 
748800 0.658863 0.68984 
749700 0.553579 0.410587 
750600 0.665552 0.431573 
751500 0.476656 0.296178 
752400 0.483344 0.389262 
753300 0.568562 0.389262 
754200 0.471572 0.363875 
755100 0.667291 0.715226 
756000 0.623813 0.681378 
756900 0.508361 0.3808 
757800 0.531773 0.296178 
758700 0.513445 0.376738 
759600 0.540201 0.325965 
760500 0.397993 0.22848 
761400 0.364548 0.165182 
762300 0.419799 0.262329 
763200 0.351171 0.15232 
764100 0.354515 0.173645 
765000 0.411371 0.270791 
765900 0.349565 0.135395 
766800 0.364548 0.190569 
767700 0.379666 0.203093 
768600 0.356254 0.169244 
769500 0.337793 0.131334 
770400 0.374582 0.262329 
771300 0.306087 0.105947 
772200 0.332843 0.165182 
773100 0.367893 0.190569 
774000 0.314381 0.122871 
774900 0.322809 0.15232 
775800 0.347826 0.173645 
776700 0.354515 0.15672 
777600 0.331104 0.122871 
778500 0.369632 0.203093 
779400 0.307692 0.089023 
780300 0.314381 0.207494 
781200 0.381271 0.262329 
782100 0.322809 0.15232 
783000 0.32107 0.177707 
783900 0.346221 0.207494 
784800 0.391304 0.165182 
785700 0.361204 0.114409 
786600 0.346221 0.15232 
787500 0.339532 0.097485 
788400 0.359599 0.126933 
789300 0.311037 0.126933 
790200 0.289365 0.15232 
791100 0.327759 0.245404 
792000 0.341137 0.190569 
792900 0.31612 0.215956 
793800 0.302742 0.211555 
794700 0.31612 0.177707 
795600 0.274247 0.15232 
796500 0.306087 0.224418 
797400 0.282676 0.139796 
798300 0.284281 0.126933 
799200 0.327759 0.249805 
800100 0.29097 0.110009 
801000 0.32107 0.131334 
801900 0.356254 0.194631 
802800 0.334448 0.190569 
803700 0.299398 0.126933 
804600 0.394649 0.236942 
805500 0.322809 0.160782 
806400 0.314381 0.122871 
807300 0.381271 0.287715 
808200 0.301003 0.131334 
809100 0.312776 0.15232 
810000 0.346221 0.215956 
810900 0.327759 0.173645 
811800 0.301003 0.118471 
812700 0.339532 0.236942 
813600 0.311037 0.165182 
814500 0.4499 0.266729 
815400 0.426488 0.220018 
816300 0.371237 0.215956 
817200 0.362943 0.22848 
818100 0.362943 0.199031 
819000 0.401338 0.275191 
819900 0.346221 0.160782 
820800 0.372977 0.220018 
821700 0.401338 0.203093 
822600 0.384615 0.160782 
823500 0.426488 0.30904 
824400 0.377926 0.245404 
825300 0.366288 0.203093 
826200 0.394649 0.253866 
827100 0.349565 0.173645 
828000 0.436522 0.325965 
828900 0.35786 0.182107 
829800 0.389699 0.236942 
830700 0.391304 0.262329 
831600 0.359599 0.199031 
832500 0.401338 0.283653 
833400 0.362943 0.224418 
834300 0.351171 0.186169 
835200 0.409766 0.300578 
836100 0.359599 0.15672 
837000 0.414716 0.296178 
837900 0.366288 0.173645 
838800 0.362943 0.160782 
839700 0.393043 0.22848 
840600 0.356254 0.15672 
841500 0.416455 0.270791 
842400 0.381271 0.211555 
843300 0.403077 0.177707 
844200 0.41311 0.207494 
845100 0.376321 0.211555 
846000 0.376321 0.220018 
846900 0.356254 0.207494 
847800 0.374582 0.203093 
848700 0.411371 0.325965 
849600 0.364548 0.23288 
850500 0.389699 0.279253 
851400 0.396388 0.249805 
852300 0.399732 0.22848 
853200 0.38796 0.270791 
854100 0.401338 0.313102 
855000 0.35786 0.211555 
855900 0.38796 0.292116 
856800 0.366288 0.266729 
857700 0.377926 0.249805 
858600 0.409766 0.30464 
859500 0.356254 0.236942 
860400 0.361204 0.236942 
861300 0.403077 0.321564 
862200 0.351171 0.199031 
863100 0.391304 0.279253 
864000 0.389699 0.262329 
